Designator,Mid X,Mid Y,Rotation,Layer
SC102,210.9575,-96.5,180.0,bottom
SC103,228.6375,-89.425,180.0,bottom
SC104,230.0075,-96.5,180.0,bottom
SC105,247.6875,-89.425,180.0,bottom
SC106,249.0575,-96.5,180.0,bottom
SC107,283.40625,-89.425,180.0,bottom
SC108,284.77625,-96.5,180.0,bottom
SC109,319.125,-89.425,180.0,bottom
SC11,128.625,-32.275,180.0,bottom
SC110,320.495,-96.5,180.0,bottom
SC111,35.75625,-108.475,180.0,bottom
SC112,37.12625,-115.55,180.0,bottom
SC113,59.56875,-108.475,180.0,bottom
SC114,60.93875,-115.55,180.0,bottom
SC115,83.38125,-108.475,180.0,bottom
SC116,84.75125,-115.55,180.0,bottom
SC117,154.81875,-108.475,180.0,bottom
SC118,156.18875,-115.55,180.0,bottom
SC119,226.25625,-108.475,180.0,bottom
SC12,129.995,-39.35,180.0,bottom
SC120,227.62625,-115.55,180.0,bottom
SC121,250.06875,-108.475,180.0,bottom
SC122,251.43875,-115.55,180.0,bottom
SC123,273.88125,-108.475,180.0,bottom
SC124,275.25125,-115.55,180.0,bottom
SC125,297.69375,-108.475,180.0,bottom
SC126,299.06375,-115.55,180.0,bottom
SC127,319.125,-108.475,180.0,bottom
SC128,320.495,-115.55,180.0,bottom
SC13,147.675,-32.275,180.0,bottom
SC14,149.045,-39.35,180.0,bottom
SC15,166.725,-32.275,180.0,bottom
SC16,168.095,-39.35,180.0,bottom
SC17,185.775,-32.275,180.0,bottom
SC18,187.145,-39.35,180.0,bottom
SC19,204.825,-32.275,180.0,bottom
SC2,34.745,-39.35,180.0,bottom
SC20,206.195,-39.35,180.0,bottom
SC21,223.875,-32.275,180.0,bottom
SC22,225.245,-39.35,180.0,bottom
SC23,242.925,-32.275,180.0,bottom
SC24,244.295,-39.35,180.0,bottom
SC25,261.975,-32.275,180.0,bottom
SC26,263.345,-39.35,180.0,bottom
SC27,290.55,-32.275,180.0,bottom
SC28,291.92,-39.35,180.0,bottom
SC29,38.1375,-51.325,180.0,bottom
SC3,52.425,-32.275,180.0,bottom
SC30,39.5075,-58.4,180.0,bottom
SC31,61.95,-51.325,180.0,bottom
SC32,63.32,-58.4,180.0,bottom
SC33,81.0,-51.325,180.0,bottom
SC34,82.37,-58.4,180.0,bottom
SC35,100.05,-51.325,180.0,bottom
SC36,101.42,-58.4,180.0,bottom
SC37,119.1,-51.325,180.0,bottom
SC38,120.47,-58.4,180.0,bottom
SC39,138.15,-51.325,180.0,bottom
SC4,53.795,-39.35,180.0,bottom
SC40,139.52,-58.4,180.0,bottom
SC41,157.2,-51.325,180.0,bottom
SC42,158.57,-58.4,180.0,bottom
SC43,176.25,-51.325,180.0,bottom
SC44,177.62,-58.4,180.0,bottom
SC45,195.3,-51.325,180.0,bottom
SC46,196.67,-58.4,180.0,bottom
SC47,214.35,-51.325,180.0,bottom
SC48,215.72,-58.4,180.0,bottom
SC49,233.4,-51.325,180.0,bottom
SC5,71.475,-32.275,180.0,bottom
SC50,234.77,-58.4,180.0,bottom
SC51,252.45,-51.325,180.0,bottom
SC52,253.82,-58.4,180.0,bottom
SC53,271.5,-51.325,180.0,bottom
SC54,272.87,-58.4,180.0,bottom
SC55,295.3125,-51.325,180.0,bottom
SC56,296.6825,-58.4,180.0,bottom
SC57,40.51875,-70.375,180.0,bottom
SC58,41.88875,-77.45,180.0,bottom
SC59,66.7125,-70.375,180.0,bottom
SC6,72.845,-39.35,180.0,bottom
SC60,68.0825,-77.45,180.0,bottom
SC61,85.7625,-70.375,180.0,bottom
SC62,87.1325,-77.45,180.0,bottom
SC63,104.8125,-70.375,180.0,bottom
SC64,106.1825,-77.45,180.0,bottom
SC65,123.8625,-70.375,180.0,bottom
SC66,125.2325,-77.45,180.0,bottom
SC67,142.9125,-70.375,180.0,bottom
SC68,144.2825,-77.45,180.0,bottom
SC69,161.9625,-70.375,180.0,bottom
SC7,90.525,-32.275,180.0,bottom
SC70,163.3325,-77.45,180.0,bottom
SC71,181.0125,-70.375,180.0,bottom
SC72,182.3825,-77.45,180.0,bottom
SC73,200.0625,-70.375,180.0,bottom
SC74,201.4325,-77.45,180.0,bottom
SC75,219.1125,-70.375,180.0,bottom
SC76,220.4825,-77.45,180.0,bottom
SC77,238.1625,-70.375,180.0,bottom
SC78,239.5325,-77.45,180.0,bottom
SC79,257.2125,-70.375,180.0,bottom
SC8,91.895,-39.35,180.0,bottom
SC80,258.5825,-77.45,180.0,bottom
SC81,288.16875,-70.375,180.0,bottom
SC82,289.53875,-77.45,180.0,bottom
SC83,319.125,-70.375,180.0,bottom
SC84,320.495,-77.45,180.0,bottom
SC85,45.28125,-89.425,180.0,bottom
SC86,46.65125,-96.5,180.0,bottom
SC87,76.2375,-89.425,180.0,bottom
SC88,77.6075,-96.5,180.0,bottom
SC89,95.2875,-89.425,180.0,bottom
SC9,109.575,-32.275,180.0,bottom
SC90,96.6575,-96.5,180.0,bottom
SC91,114.3375,-89.425,180.0,bottom
SC92,115.7075,-96.5,180.0,bottom
SC93,133.3875,-89.425,180.0,bottom
SC94,134.7575,-96.5,180.0,bottom
SC95,152.4375,-89.425,180.0,bottom
SC96,153.8075,-96.5,180.0,bottom
SC97,171.4875,-89.425,180.0,bottom
SC98,172.8575,-96.5,180.0,bottom
SC99,190.5375,-89.425,180.0,bottom
SR+1,47.052,-38.2,270.0,bottom
SR+10,218.502,-38.2,270.0,bottom
SR+11,237.552,-38.2,270.0,bottom
SR+12,256.602,-38.2,270.0,bottom
SR+13,275.652,-38.2,270.0,bottom
SR+14,304.227,-38.2,270.0,bottom
SR+15,51.8145,-57.25,270.0,bottom
SR+16,75.627,-57.25,270.0,bottom
SR+17,94.677,-57.25,270.0,bottom
SR+18,113.727,-57.25,270.0,bottom
SR+19,132.777,-57.25,270.0,bottom
SR+2,66.102,-38.2,270.0,bottom
SR+20,151.827,-57.25,270.0,bottom
SR+21,170.877,-57.25,270.0,bottom
SR+22,189.927,-57.25,270.0,bottom
SR+23,208.977,-57.25,270.0,bottom
SR+24,228.027,-57.25,270.0,bottom
SR+25,247.077,-57.25,270.0,bottom
SR+26,266.127,-57.25,270.0,bottom
SR+27,285.177,-57.25,270.0,bottom
SR+28,308.9895,-57.25,270.0,bottom
SR+29,54.19575,-76.3,270.0,bottom
SR+3,85.152,-38.2,270.0,bottom
SR+30,80.3895,-76.3,270.0,bottom
SR+31,99.4395,-76.3,270.0,bottom
SR+32,118.4895,-76.3,270.0,bottom
SR+33,137.5395,-76.3,270.0,bottom
SR+34,156.5895,-76.3,270.0,bottom
SR+35,175.6395,-76.3,270.0,bottom
SR+36,194.6895,-76.3,270.0,bottom
SR+37,213.7395,-76.3,270.0,bottom
SR+38,232.7895,-76.3,270.0,bottom
SR+39,251.8395,-76.3,270.0,bottom
SR+4,104.202,-38.2,270.0,bottom
SR+40,270.8895,-76.3,270.0,bottom
SR+41,301.84575,-76.3,270.0,bottom
SR+42,332.802,-76.3,270.0,bottom
SR+43,58.95825,-95.35,270.0,bottom
SR+44,89.9145,-95.35,270.0,bottom
SR+45,108.9645,-95.35,270.0,bottom
SR+46,128.0145,-95.35,270.0,bottom
SR+47,147.0645,-95.35,270.0,bottom
SR+48,166.1145,-95.35,270.0,bottom
SR+49,185.1645,-95.35,270.0,bottom
SR+5,123.252,-38.2,270.0,bottom
SR+50,204.2145,-95.35,270.0,bottom
SR+51,223.2645,-95.35,270.0,bottom
SR+52,242.3145,-95.35,270.0,bottom
SR+53,261.3645,-95.35,270.0,bottom
SR+54,297.08325,-95.35,270.0,bottom
SR+55,332.802,-95.35,270.0,bottom
SR+56,49.43325,-114.4,270.0,bottom
SR+57,73.24575,-114.4,270.0,bottom
SR+58,97.05825,-114.4,270.0,bottom
SR+59,168.49575,-114.4,270.0,bottom
SR+6,142.302,-38.2,270.0,bottom
SR+60,239.93325,-114.4,270.0,bottom
SR+61,263.74575,-114.4,270.0,bottom
SR+62,287.55825,-114.4,270.0,bottom
SR+63,311.37075,-114.4,270.0,bottom
SR+64,332.802,-114.4,270.0,bottom
SR+7,161.352,-38.2,270.0,bottom
SR+8,180.402,-38.2,270.0,bottom
SR+9,199.452,-38.2,270.0,bottom
SR-1,45.902,-38.2,270.0,bottom
SR-10,217.352,-38.2,270.0,bottom
SR-11,236.402,-38.2,270.0,bottom
SR-12,255.452,-38.2,270.0,bottom
SR-13,274.502,-38.2,270.0,bottom
SR-14,303.077,-38.2,270.0,bottom
SR-15,50.6645,-57.25,270.0,bottom
SR-16,74.477,-57.25,270.0,bottom
SR-17,93.527,-57.25,270.0,bottom
SR-18,112.577,-57.25,270.0,bottom
SR-19,131.627,-57.25,270.0,bottom
SR-2,64.952,-38.2,270.0,bottom
SR-20,150.677,-57.25,270.0,bottom
SR-21,169.727,-57.25,270.0,bottom
SR-22,188.777,-57.25,270.0,bottom
SR-23,207.827,-57.25,270.0,bottom
SR-24,226.877,-57.25,270.0,bottom
SR-25,245.927,-57.25,270.0,bottom
SR-26,264.977,-57.25,270.0,bottom
SR-27,284.027,-57.25,270.0,bottom
SR-28,307.8395,-57.25,270.0,bottom
SR-29,53.04575,-76.3,270.0,bottom
SR-3,84.002,-38.2,270.0,bottom
